"Date","Price","Open","High","Low","Vol.","Change %"
"04/04/2024","1.0867","1.0838","1.0871","1.0835","","0.30%"
"04/03/2024","1.0835","1.0772","1.0838","1.0763","","0.62%"
"04/02/2024","1.0768","1.0743","1.0780","1.0724","","0.23%"
"04/01/2024","1.0743","1.0788","1.0799","1.0731","","-0.46%"
"03/29/2024","1.0793","1.0790","1.0806","1.0767","","0.06%"
"03/28/2024","1.0787","1.0827","1.0828","1.0774","","-0.36%"
"03/27/2024","1.0826","1.0832","1.0840","1.0810","","-0.04%"
"03/26/2024","1.0830","1.0838","1.0865","1.0824","","-0.06%"
"03/25/2024","1.0836","1.0808","1.0843","1.0802","","0.29%"
"03/22/2024","1.0805","1.0860","1.0869","1.0802","","-0.51%"
"03/21/2024","1.0860","1.0921","1.0943","1.0855","","-0.53%"
"03/20/2024","1.0918","1.0864","1.0924","1.0836","","0.49%"
"03/19/2024","1.0865","1.0873","1.0877","1.0834","","-0.06%"
"03/18/2024","1.0871","1.0893","1.0906","1.0865","","-0.15%"
"03/15/2024","1.0887","1.0883","1.0900","1.0872","","0.06%"
"03/14/2024","1.0881","1.0950","1.0955","1.0880","","-0.59%"
"03/13/2024","1.0946","1.0926","1.0964","1.0920","","0.20%"
"03/12/2024","1.0924","1.0925","1.0946","1.0899","","-0.02%"
"03/11/2024","1.0926","1.0944","1.0948","1.0914","","-0.10%"
"03/08/2024","1.0937","1.0948","1.0982","1.0919","","-0.08%"
"03/07/2024","1.0946","1.0897","1.0950","1.0868","","0.45%"
"03/06/2024","1.0897","1.0859","1.0916","1.0841","","0.39%"
"03/05/2024","1.0855","1.0855","1.0877","1.0840","","0.01%"
"03/04/2024","1.0854","1.0842","1.0868","1.0838","","0.16%"